under_refusal_rate,over_refusal_rate,balanced_abstention_error,contrast_separation_accuracy,decision_consistency,verifier_override_rate,unsafe_output_rate,unnecessary_refusal_rate,safe_answer_alignment_rate,eval_rows,unsafe_eval_rows,safe_eval_rows,model_name,task,accuracy,macro_f1
0.007766990291262136,0.28888888888888886,0.1483279395900755,0.8,0.9023809523809524,0.11570247933884298,0.09421487603305785,0.006611570247933884,1.0,605,515,90,paag,llm_pipeline,,
0.10097087378640776,0.2111111111111111,0.15604099244875944,0.375,0.8259523809523809,0.0,0.0,0.0,0.0,605,515,90,tfidf_logistic_regression,abstention_binary,0.8826446280991735,0.7977265128719492
0.09902912621359224,0.2222222222222222,0.16062567421790722,0.375,0.8216666666666667,0.0,0.0,0.0,0.0,605,515,90,tfidf_hard_voting_ensemble,abstention_binary,0.8826446280991735,0.7962180189668342
0.11067961165048544,0.2111111111111111,0.16089536138079827,0.35,0.8136904761904761,0.0,0.0,0.0,0.0,605,515,90,tfidf_sgd_logistic,abstention_binary,0.8743801652892562,0.7873816217815921
0.10097087378640776,0.2222222222222222,0.161596548004315,0.4,0.8142857142857142,0.0,0.0,0.0,0.0,605,515,90,tfidf_ridge_classifier,abstention_binary,0.8809917355371901,0.7941165349567059
0.1029126213592233,0.2222222222222222,0.16256742179072275,0.35,0.8128571428571428,0.0,0.0,0.0,0.0,605,515,90,tfidf_linear_svm,abstention_binary,0.8793388429752066,0.7920286681641168
0.09320388349514563,0.23333333333333334,0.16326860841423949,0.4,0.8130952380952381,0.0,0.0,0.0,0.0,605,515,90,tfidf_soft_voting_ensemble,abstention_binary,0.8859504132231405,0.7989365237620472
0.003883495145631068,0.3333333333333333,0.1686084142394822,0.875,0.900952380952381,0.003305785123966942,0.009917355371900827,0.02975206611570248,0.25,605,515,90,llm_baseline,llm_pipeline,,
0.07961165048543689,0.28888888888888886,0.18425026968716288,0.35,0.7852380952380952,0.0,0.0,0.0,0.0,605,515,90,tfidf_complement_nb,abstention_binary,0.8892561983471075,0.7952002020967538
0.06796116504854369,0.37777777777777777,0.2228694714131607,0.3,0.7657142857142858,0.0,0.0,0.0,0.0,605,515,90,tfidf_multinomial_nb,abstention_binary,0.8859504132231405,0.7758645684003672
